Srl,Full Name,Block,Item /Col.,Field Length,Field_Name,Unnamed: 6,Unnamed: 7,Unnamed: 8,match,field_name,field_type,field_len,Unnamed: 13,Unnamed: 14,Unnamed: 15
101.0,hours available for aditional worked on 4th day,6,8/3.4,2.0,ahr4,AHR4,N,2.0,1.0,DAS25,C,2.0,das25,,
102.0,Status Code for activity 1,6,4/3.5,2.0,das13,DAS13,C,2.0,1.0,IND25,C,2.0,ind25,,
103.0,Industry Code (NIC) for activity 1,6,5/3.5,2.0,ind13,IND13,C,2.0,1.0,HR25,N,2.0,hr25,,
104.0,hours actuallly worked for activity 1 on 3rd day,6,6/3.5,2.0,hr13,HR13,N,2.0,1.0,ERN25,N,5.0,ern25,,
105.0,wage earning for activity 1 on 3rd day,6,9/3.5,5.0,ern13,ERN13,N,5.0,1.0,HR5,N,2.0,hr5,,
106.0,Status Code for activity 2,6,4/3.5,2.0,das23,DAS23,C,2.0,1.0,AHR5,N,2.0,ahr5,,
107.0,Industry Code (NIC) for activity 2,6,5/3.5,2.0,ind23,IND23,C,2.0,1.0,DAS14,C,2.0,das14,,
108.0,hours actuallly worked for activity 2 on 3rd day,6,6/3.5,2.0,hr23,HR23,N,2.0,1.0,IND14,C,2.0,ind14,,
109.0,wage earning for activity 2 on 3 rd day,6,9/3.5,5.0,ern23,ERN23,N,5.0,1.0,HR14,N,2.0,hr14,,
110.0,total hours actually worked on 3rd day,6,7/3.5,2.0,hr3,HR3,N,2.0,1.0,ERN14,N,5.0,ern14,,
111.0,hours available for aditional worked on 3rd day,6,8/3.5,2.0,ahr3,AHR3,N,2.0,1.0,DAS24,C,2.0,das24,,
112.0,Status Code for activity 1,6,4/3.6,2.0,das12,DAS12,C,2.0,1.0,IND24,C,2.0,ind24,,
113.0,Industry Code (NIC) for activity 1,6,5/3.6,2.0,ind12,IND12,C,2.0,1.0,HR24,N,2.0,hr24,,
114.0,hours actuallly worked for activity 1 on 2nd day,6,6/3.6,2.0,hr12,HR12,N,2.0,1.0,ERN24,N,5.0,ern24,,
115.0,wage earning for activity 1 on 2nd day,6,9/3.6,5.0,ern12,ERN12,N,5.0,1.0,HR4,N,2.0,hr4,,
116.0,Status Code for activity 2,6,4/3.6,2.0,das22,DAS22,C,2.0,1.0,AHR4,N,2.0,ahr4,,
117.0,Industry Code (NIC) for activity 2,6,5/3.6,2.0,ind22,IND22,C,2.0,1.0,DAS13,C,2.0,das13,,
118.0,hours actuallly worked for activity 2 on 2nd day,6,6/3.6,2.0,hr22,HR22,N,2.0,1.0,IND13,C,2.0,ind13,,
119.0,wage earning for activity 2 on 2nd day,6,9/3.6,5.0,ern22,ERN22,N,5.0,1.0,HR13,N,2.0,hr13,,
120.0,total hours actually worked on 2nd day,6,7/3.6,2.0,hr2,HR2,N,2.0,1.0,ERN13,N,5.0,ern13,,
121.0,hours available for aditional worked on 2nd day,6,8/3.6,2.0,ahr2,AHR2,N,2.0,1.0,DAS23,C,2.0,das23,,
122.0,Status Code for activity 1,6,4/3.7,2.0,das11,DAS11,C,2.0,1.0,IND23,C,2.0,ind23,,
123.0,Industry Code (NIC) for activity 1,6,5/3.7,2.0,ind11,IND11,C,2.0,1.0,HR23,N,2.0,hr23,,
124.0,hours actuallly worked for activity 1 on 1st day,6,6/3.7,2.0,hr11,HR11,N,2.0,1.0,ERN23,N,5.0,ern23,,
125.0,wage earning for activity 1 on 1st day,6,9/3.7,5.0,ern11,ERN11,N,5.0,1.0,HR3,N,2.0,hr3,,
126.0,Status Code for activity 2,6,4/3.7,2.0,das21,DAS21,C,2.0,1.0,AHR3,N,2.0,ahr3,,
127.0,Industry Code (NIC) for activity 2,6,5/3.7,2.0,ind21,IND21,C,2.0,1.0,DAS12,C,2.0,das12,,
128.0,hours actuallly worked for activity 2 on 1st day,6,6/3.7,2.0,hr21,HR21,N,2.0,1.0,IND12,C,2.0,ind12,,
129.0,wage earning for activity 2 on 1st day,6,9/3.7,5.0,ern21,ERN21,N,5.0,1.0,HR12,N,2.0,hr12,,
130.0,total hours actually worked on 1st day,6,7/3.7,2.0,hr1,HR1,N,2.0,1.0,ERN12,N,5.0,ern12,,
131.0,hours available for aditional worked on 1st day,6,8/3.7,2.0,ahr1,AHR1,N,2.0,1.0,DAS22,C,2.0,das22,,
,total hours actually worked during the week,,,3.0,tothrs_wrk,TOTHRS_WRK,N,3.0,1.0,,,,,tothrs_wrk,
,total hours available for additional work,,,3.0,totadl_wrk,TOTADL_WRK,N,3.0,1.0,,,,,totadl_wrk,
132.0,Current Weekly Status (CWS),6,5,2.0,acws,ACWS,C,2.0,1.0,IND22,C,2.0,ind22,,
133.0,Industry Code (CWS),6,6,2.0,aind_cws,AIND_CWS,C,2.0,1.0,HR22,N,2.0,hr22,,
134.0,Occupation Code (CWS),6,7,3.0,ocu_cws,OCU_CWS,C,3.0,1.0,ERN22,N,5.0,ern22,,
135.0,Earnings For Regular Salaried/Wage Activity,6,9,8.0,ern_reg,ERN_REG,N,8.0,1.0,HR2,N,2.0,hr2,,
136.0,Earnings For Self Employed,6,10,8.0,ern_self,ERN_SELF,N,8.0,1.0,AHR2,N,2.0,ahr2,,
137.0,Ns count for sector x stratum x substratum x sub-sample,Generated,,3.0,nss,,,,,DAS11,C,2.0,das11,,
138.0,Ns count for sector x stratum x substratum,Generated,,3.0,nsc,,,,,IND11,C,2.0,ind11,,
139.0,Sub-sample wise Multiplier,Generated,,10.0,mult,,,,,HR11,N,2.0,hr11,,
,Occurence of FSUs in State x Sector x Stratum x SubStratum in 4 Quarters,Generated,,1.0,no_qtr,,,,,ERN11,N,5.0,ern11,,
,,,,,,,,,1.0,DAS21,C,2.0,das21,,
,,,,,,,,,1.0,IND21,C,2.0,ind21,,
,,,,,,,,,1.0,HR21,N,2.0,hr21,,
,,,,,,,,,1.0,ERN21,N,5.0,ern21,,
,,,,,,,,,1.0,HR1,N,2.0,hr1,,
,,,,,,,,,1.0,AHR1,N,2.0,ahr1,,
,,,,,,,,,1.0,TOTHRS_WRK,N,3.0,tothrs_wrk,,
,,,,,,,,,1.0,TOTADL_WRK,N,3.0,totadl_wrk,,
,,,,,,,,,1.0,CWS,C,2.0,,,
,,,,,,,,,1.0,DES_CWS,C,100.0,,,
,,,,,,,,,1.0,IND_CWS,C,2.0,,,
,,,,,,,,,1.0,OCU_CWS,C,3.0,ocu_cws,,
,,,,,,,,,1.0,ERN_REG,N,8.0,ern_reg,,
,,,,,,,,,1.0,ERN_SELF,N,8.0,ern_self,,
,,,,,,,,,1.0,FL,C,1.0,,,
,,,,,,,,,1.0,ACTION,C,20.0,,,
,,,,,,,,,1.0,ERR_CODE,C,15.0,,,
,,,,,,,,,1.0,ERR_4_41,C,15.0,,,
,,,,,,,,,1.0,ERR_51_52,C,15.0,,,
,,,,,,,,,1.0,ERR_53,C,15.0,,,
,,,,,,,,,1.0,ERR_BL6,C,15.0,,,
,,,,,,,,,1.0,ERR_CD,C,15.0,,,
,,,,,,,,,1.0,ACWS,C,2.0,acws,,
,,,,,,,,,1.0,AIND_CWS,C,2.0,aind_cws,,
,,,,,,,,,1.0,DAYS_WRK,N,1.0,,,
,,,,,,,,,1.0,DAYS_AWRK,N,1.0,,,
,,,,,,,,,1.0,HOURS_WRK,N,3.0,,,
,,,,,,,,,1.0,WOULD_WRK,N,3.0,,,
,,,,,,,,,1.0,ACTUAL_WRK,N,3.0,,,
,,,,,,,,,1.0,ADDL_WRK,N,3.0,,,
,,,,,,,,,1.0,DAYS_UN,N,1.0,,,
,,,,,,,,,1.0,VISIT1,C,2.0,,,
,,,,,,,,,1.0,DC,C,2.0,dc,,
,,,,,,,,,1.0,CWS_ORG,C,2.0,,,
,,,,,,,,,1.0,UPD,C,1.0,,,
