sec,stnew,strm,grp,sstrm,bstrm,Bstrm_name
1,9,520,2,1,D020,Pilibhit
1,1,13,2,1,D021,Jammu
2,1,13,9,1,D021,Jammu
1,27,14,2,1,D021,Thane
1,27,14,2,2,D021,Thane
2,27,14,9,1,D021,Thane
2,27,14,9,2,D021,Thane
2,27,14,9,3,D021,Thane
2,27,14,9,4,D021,Thane
1,33,15,2,1,D021,Sivaganga
2,33,15,9,1,D021,Sivaganga
1,22,16,2,1,D021,Kondagaon
1,36,16,2,1,D021,Medchal-Malkajgiri
2,22,16,9,1,D021,Kondagaon
2,36,16,9,1,D021,Medchal-Malkajgiri
1,3,17,2,1,D021,Pathankot
1,8,17,2,1,D021,Ajmer
2,3,17,9,1,D021,Pathankot
1,6,18,2,1,D021,Palwal
1,24,18,2,1,D021,Bharuch
1,24,18,2,2,D021,Bharuch
2,6,18,9,1,D021,Palwal
2,8,18,9,1,D021,Ajmer
2,8,18,9,2,D021,Ajmer
2,24,18,9,1,D021,Bharuch
1,23,19,2,1,D021,Dhar
1,23,19,2,2,D021,Dhar
1,23,19,2,3,D021,Dhar
2,23,19,9,1,D021,Dhar
1,29,20,2,1,D021,Dakshina Kannada
1,29,20,2,2,D021,Dakshina Kannada
2,29,20,9,1,D021,Dakshina Kannada
2,29,20,9,2,D021,Dakshina Kannada
1,9,21,2,1,D021,Shahjahanpur
1,9,21,2,2,D021,Shahjahanpur
2,9,21,9,1,D021,Shahjahanpur
2,27,204,9,1,D021,Thane
2,27,204,9,2,D021,Thane
2,27,204,9,3,D021,Thane
2,27,204,9,4,D021,Thane
1,9,521,2,1,D021,Shahjahanpur
1,1,14,1,1,D022,Samba
2,1,14,9,1,D022,Samba
1,33,16,2,1,D022,Madurai
1,33,16,2,2,D022,Madurai
2,33,16,9,1,D022,Madurai
2,27,205,9,5,D022,Mumbai Suburban
1,3,18,2,1,D022,Fazilka
1,8,18,2,1,D022,Tonk
1,8,18,2,2,D022,Tonk
1,10,18,2,1,D022,Bhagalpur
1,10,18,2,2,D022,Bhagalpur
1,10,18,2,3,D022,Bhagalpur
2,3,18,9,1,D022,Fazilka
2,10,18,9,1,D022,Bhagalpur
2,8,19,9,1,D022,Tonk
1,18,20,2,1,D022,Kamrup
1,18,20,2,2,D022,Kamrup
1,23,20,2,1,D022,Indore
2,18,20,9,1,D022,Kamrup
2,23,20,9,1,D022,Indore
1,9,22,2,1,D022,Kheri
1,9,22,2,2,D022,Kheri
2,9,22,9,1,D022,Kheri
2,23,202,9,1,D022,Indore
2,23,202,9,2,D022,Indore
2,33,202,9,1,D022,Madurai
2,27,205,9,6,D022,Mumbai Suburban
2,27,205,9,7,D022,Mumbai Suburban
2,27,205,9,8,D022,Mumbai Suburban
2,27,205,9,9,D022,Mumbai Suburban
2,27,205,9,10,D022,Mumbai Suburban
2,27,205,9,11,D022,Mumbai Suburban
2,27,205,9,12,D022,Mumbai Suburban
2,27,205,9,13,D022,Mumbai Suburban
2,27,205,9,14,D022,Mumbai Suburban
2,33,201,9,1,D002,Chennai
2,33,201,9,2,D002,Chennai
2,33,201,9,3,D002,Chennai
2,33,201,9,4,D002,Chennai
2,36,17,9,1,D022,Hyderabad
1,9,522,2,1,D022,Kheri
